QoISNf,QoIVEFf,dq,dQoISNf,dQoIVEFf,dQoISNa,dQoIVEFa,Ediff
1.9999,1.9999,-0.1,-0.19999,-0.19999,-0.19999,-0.19999,2.864E-11
1.9999,1.9999,-0.09,-0.17999,-0.17999,-0.17999,-0.17999,2.864E-11
1.9999,1.9999,-0.08,-0.15999,-0.15999,-0.15999,-0.15999,2.864E-11
1.9999,1.9999,-0.07,-0.13999,-0.13999,-0.13999,-0.13999,2.864E-11
1.9999,1.9999,-0.06,-0.11999,-0.11999,-0.11999,-0.11999,2.864E-11
1.9999,1.9999,-0.05,-0.099994,-0.099994,-0.099994,-0.099994,2.864E-11
1.9999,1.9999,-0.04,-0.079995,-0.079995,-0.079995,-0.079995,2.864E-11
1.9999,1.9999,-0.03,-0.059996,-0.059996,-0.059996,-0.059996,2.864E-11
1.9999,1.9999,-0.02,-0.039998,-0.039998,-0.039998,-0.039998,2.864E-11
1.9999,1.9999,-0.01,-0.019999,-0.019999,-0.019999,-0.019999,1.1815E-16
1.9999,1.9999,0,0,0,0,0,0
1.9999,1.9999,0.01,0.019999,0.019999,0.019999,0.019999,1.0043E-16
1.9999,1.9999,0.02,0.039998,0.039998,0.039998,0.039998,1.1562E-16
1.9999,1.9999,0.03,0.059996,0.059996,0.059996,0.059996,1.114E-16
1.9999,1.9999,0.04,0.079995,0.079995,0.079995,0.079995,1.1562E-16
1.9999,1.9999,0.05,0.099994,0.099994,0.099994,0.099994,1.0549E-16
1.9999,1.9999,0.06,0.11999,0.11999,0.11999,0.11999,1.1393E-16
1.9999,1.9999,0.07,0.13999,0.13999,0.13999,0.13999,1.2237E-16
1.9999,1.9999,0.08,0.15999,0.15999,0.15999,0.15999,1.2406E-16
1.9999,1.9999,0.09,0.17999,0.17999,0.17999,0.17999,1.4094E-16
1.9999,1.9999,0.1,0.19999,0.19999,0.19999,0.19999,1.3166E-16
