-0.1,0.44419,0.44428,0.39983,0.39988,0.39988,0.39983
-0.08,0.34764,0.3477,0.31986,0.31991,0.31991,0.31987
-0.06,0.25519,0.25523,0.2399,0.23993,0.23993,0.2399
-0.04,0.16659,0.16661,0.15993,0.15995,0.15995,0.15993
-0.02,0.081596,0.081608,0.079966,0.079977,0.079977,0.079967
0,0,0,0,0,0,0
0.02,-0.0784,-0.07841,-0.079966,-0.079977,-0.079977,-0.079968
0.04,-0.15379,-0.15381,-0.15993,-0.15995,-0.15995,-0.15994
0.06,-0.22633,-0.22636,-0.2399,-0.23993,-0.23993,-0.2399
0.08,-0.29619,-0.29622,-0.31986,-0.31991,-0.31991,-0.31987
0.1,-0.36352,-0.36355,-0.39983,-0.39989,-0.39989,-0.39984
