-0.1,-0.040472,-0.039153,-0.043376,-0.041449,-0.041668,-0.042565
-0.08,-0.032824,-0.0315,-0.0347,-0.033211,-0.033387,-0.034102
-0.06,-0.024959,-0.02371,-0.026025,-0.024948,-0.02508,-0.025615
-0.04,-0.016872,-0.016111,-0.01735,-0.016659,-0.016747,-0.017103
-0.02,-0.0085543,-0.0083373,-0.0086751,-0.0083434,-0.0083873,-0.0085647
0,0,0,0,0,0,0
0.02,0.0087984,0.009004,0.0086751,0.0083719,0.0084158,0.008592
0.04,0.017848,0.017373,0.01735,0.016773,0.016861,0.017212
0.06,0.027158,0.026605,0.026025,0.025205,0.025336,0.025862
0.08,0.036735,0.035834,0.0347,0.033667,0.033843,0.034541
0.1,0.046588,0.044818,0.043376,0.042162,0.042381,0.043251
