0,0,0,0,8.2769e-18,8.2769e-18,8.2769e-18
0.01,-0.0091896,-0.0084729,-0.0092486,-0.0085249,-0.0085249,-0.0089052
0.02,-0.018263,-0.016871,-0.018497,-0.017059,-0.017059,-0.017814
0.03,-0.027221,-0.025165,-0.027746,-0.025603,-0.025603,-0.026728
0.04,-0.036068,-0.03339,-0.036994,-0.034156,-0.034156,-0.035645
0.05,-0.044805,-0.041523,-0.046243,-0.042717,-0.042717,-0.044565
0.06,-0.053433,-0.049571,-0.055492,-0.051287,-0.051287,-0.05349
0.07,-0.061956,-0.057523,-0.06474,-0.059865,-0.059865,-0.062418
0.08,-0.070376,-0.065415,-0.073989,-0.068451,-0.068451,-0.071349
0.09,-0.078693,-0.073208,-0.083238,-0.077045,-0.077045,-0.080284
0.1,-0.086911,-0.080925,-0.092486,-0.085646,-0.085646,-0.089221
